0	0	12	5	City 0	CHF
1	0	15	11	City 1	CHF
2	0	7	10	City 2	GBP
3	0	5	1	City 3	CHF
4	0	10	5	City 4	CHF
5	0	1	5	City 5	GBP
6	0	0	12	City 6	GBP
7	0	6	5	City 7	EUR
8	0	5	8	City 8	EUR
9	0	3	7	City 9	GBP
10	0	3	14	City 10	CHF
11	0	1	5	City 11	CHF
12	0	4	8	City 12	GBP
13	0	10	2	City 13	EUR
14	0	13	0	City 14	GBP
15	0	0	11	City 15	CHF
16	0	15	15	City 16	EUR
17	0	6	6	City 17	EUR
18	0	8	5	City 18	EUR
19	0	15	10	City 19	GBP
20	0	8	11	City 20	CHF
21	0	0	11	City 21	CHF
22	0	4	1	City 22	CHF
23	0	10	9	City 23	GBP
24	0	9	13	City 24	GBP
25	0	4	8	City 25	GBP
26	0	0	6	City 26	EUR
27	0	2	5	City 27	GBP
28	0	14	7	City 28	EUR
29	0	10	7	City 29	GBP
30	0	3	1	City 30	EUR
31	0	7	2	City 31	EUR
32	0	15	0	City 32	EUR
33	0	9	8	City 33	CHF
34	0	9	13	City 34	EUR
35	0	4	12	City 35	GBP
36	0	4	1	City 36	EUR
37	0	4	4	City 37	CHF
38	0	12	9	City 38	EUR
39	0	7	9	City 39	CHF
40	0	2	7	City 40	GBP
41	0	9	1	City 41	EUR
42	0	4	4	City 42	GBP
43	0	2	11	City 43	CHF
44	0	13	4	City 44	EUR
45	0	10	6	City 45	CHF
46	0	11	0	City 46	CHF
47	0	7	2	City 47	GBP
48	0	15	10	City 48	CHF
49	0	0	3	City 49	EUR
50	0	0	11	City 50	CHF
51	0	5	12	City 51	CHF
52	0	12	1	City 52	EUR
53	0	12	0	City 53	CHF
54	0	3	9	City 54	EUR
55	0	7	11	City 55	CHF
56	0	9	10	City 56	GBP
57	0	10	9	City 57	EUR
58	0	8	11	City 58	CHF
59	0	4	12	City 59	EUR
60	0	10	8	City 60	CHF
61	0	2	6	City 61	EUR
62	0	7	5	City 62	EUR
63	0	5	3	City 63	EUR
64	0	11	9	City 64	CHF
65	0	9	6	City 65	CHF
66	0	0	15	City 66	GBP
67	0	13	7	City 67	EUR
68	0	10	12	City 68	CHF
69	0	6	14	City 69	EUR
70	0	15	12	City 70	EUR
71	0	2	5	City 71	CHF
72	0	8	5	City 72	EUR
73	0	13	6	City 73	CHF
74	0	15	7	City 74	CHF
75	0	1	3	City 75	CHF
76	0	5	13	City 76	GBP
77	0	11	4	City 77	GBP
78	0	13	6	City 78	CHF
79	0	0	0	City 79	GBP
80	0	4	5	City 80	GBP
81	0	14	3	City 81	EUR
82	0	2	3	City 82	GBP
83	0	3	10	City 83	EUR
84	0	15	9	City 84	EUR
85	0	11	14	City 85	CHF
86	0	10	5	City 86	EUR
87	0	0	3	City 87	CHF
88	0	6	2	City 88	CHF
89	0	1	3	City 89	CHF
90	0	15	9	City 90	EUR
91	0	14	4	City 91	EUR
92	0	10	12	City 92	EUR
93	0	6	12	City 93	GBP
